1,A0001,SEAF,1,13,7,3/5/2018,6/15/2018,475000,None
2,B0004,TORF,2,13,5,4/3/2019,8/20/2019,679400,None
3,A0002,PHXF,1,8,4,8/30/2020,None,None,None
4,B0001,TORF,2,7,5,5/20/2020,None,None,Reassembling stopped; pending for 6 pcs high pressure turbines shipment.
5,B0006,TORF,3,6,5,9/1/2020,None,None,Foreign Object Damage.
6,A0001,SEAF,4,4,7,11/25/2020,None,None,Inspection for new configuration testing.
7,B0004,TORF,2,13,5,2/3/2017,4/3/2017,567000,None
8,B0005,TORF,1,13,5,7/7/2017,8/20/2017,339224,None
9,AR002,PHXF,2,12,5,2/20/2017,3/23/2017,542442,Ready to ship.
10,AR004,PHXF,1,13,5,7/5/2017,9/15/2017,276550,None
11,AR003,SEAF,1,13,7,4/5/2017,6/12/2017,466520,None
12,AR003,SEAF,1,13,7,2/2/2016,4/30/2016,399520,None
13,AR004,PHXF,2,11,4,9/20/2020,None,None,Final inspection quality issues on external scratch; waiting for customer's response.
